hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_timestamp,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price,max_fee_per_blob_gas,blob_versioned_hashes,receipt_blob_gas_price,receipt_blob_gas_used,is_anomaly
0xffcc36a7de798906533c4f37eec1f6e8b9db740c565445eacb28ba5a5fb92024,2673901,2,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,5996004139,113654,116278421552,0x7c378bcbef61acd66537362f38167f11875134ffcd630ab4a7fa,352704,79558,0,0.0,1,2024-05-22 07:43:59.000000 UTC,19924011,0xb997e903f5357392cda20bafa8d06c23facfad711e3dbfacdcc2f85b28b53b75,116278421552.0,116278421550.0,2,116278421552,0.0,[],0.0,0.0,True
0xc74a9185abb9c8edd42cb79ad1f16695f50dec17c03a426640fdeae2a2837f9f,99805,6,0x120051a72966950b8ce12eb5496b5d1eeec1541b,0xfc09c7cfd9c175dd9423ca02ae1249579ab12f12,0,750000,18000000000,0xa9059cbb000000000000000000000000974822a8b062d2241fdbb7769c1cf4cab22afd56000000000000000000000000000000000000000000001168c4b347964d9ec100,864546,237068,0,0.0,1,2024-05-22 07:55:11.000000 UTC,19924066,0xe1d7aac6d187b60fccbb71e09821c96b09e3bbf11b2de590edf3c62673af09d1,0.0,0.0,0,18000000000,0.0,[],0.0,0.0,True
0x3cd0f7fcbbd5e0fa3723675cd462540b7a92bab07fdcbf6e3339d9025613d7a1,409271,9,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0x7e18f4ba460896783dd1cf0efd338254eeef96ba,1397370872000000,100000,20000000000,0x,877674,21000,0,0.0,1,2024-05-22 07:57:35.000000 UTC,19924078,0xe762300e3a66b8fc8184236540e59094dc2d5821d1011c3a27409fbc72c0e7d1,0.0,0.0,0,20000000000,0.0,[],0.0,0.0,True
0x3a57351da6b738a998277c093358b15082a9185df8bd5a25f858d8bf02b98593,40340,98,0x3511f837687ff7272a39a231cac1452ad71141fa,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,4044263030764528600,500000,17479186043,0x24856bc30000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000020b080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000a00000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000038201bcc8ef6e3d800000000000000000000000000000000000000000000000000000000000001000000000000000000000000003511f837687ff7272a39a231cac1452ad71141fa00000000000000000000000000000000000000000000000038201bcc8ef6e3d800000000000000000000000000000000000000000004c68b21261c39d0f1ebf400000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000dbcd57cc74b180f928258f7b1a32f6f7e64bf12e,16212762,152679,0,0.0,1,2024-05-22 08:01:47.000000 UTC,19924099,0x60fcc94e6a5cdbf70f048ecb0d28a33059df038ee9315180bc7dfd18cf1afd65,19890833970.0,11018375505.0,2,17479186043,0.0,[],0.0,0.0,True
0xb1d7a85bade92eb2e72a24208dd01eb83b0194a87801eade56b8504dbbec812a,409280,68,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0xb942757222f24ac8246f4471e36241beb97a3cbe,9488500000000000,100000,20000000000,0x,9349479,21000,0,0.0,1,2024-05-22 08:02:11.000000 UTC,19924101,0xb89a3be7059b953b8a7e4f494bab66f33492e4a801252b0f63da263daf63e075,0.0,0.0,0,20000000000,0.0,[],0.0,0.0,True
0xa1ba6bd086163d8e359375f32eccf45df3acc905f0584a0d82377040d9bf8c73,138,153,0x5256b1c71be6f5fcf2afe2405efca5fd60067ba0,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0,545560,212724763931,0x75713a080000000000000000000000001fdd61ef9a5c31b9a2abc7d39c139c779e8412af000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d000000000000000000000000de99ddf192483147056dcc0023daa273b2e44e0700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c465cc50b7d5a29b9308968f870a4b242a8e18730000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000006400000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000042000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000664da68f0000000000000000000000000000000000000000000000000000000000000000,12639033,255432,0,0.0,1,2024-05-22 08:02:23.000000 UTC,19924102,0x5f2c604a9f99165c16a617413090dd91e02852d58b86a93bff2eb97e76abf88c,217724763931.0,205000000000.0,2,212724763931,0.0,[],0.0,0.0,True
0x80242c0cccccad502a5780cc89dbc15cc295c56a0822ed5658f033ffe20730d0,344,16,0xa4b3773f010d922816f185d961c8a4ea59b8c754,0x66874464a74ede30e994d198f63ad9bd38f33454,1965600000000000,21000,18200000000,0x,2647245,21000,0,0.0,1,2024-05-22 08:02:35.000000 UTC,19924103,0x7647be343e4504e5b0c26eb13d1daa21b01eb7288aa0d85f30cc8402fa75ee92,0.0,0.0,0,18200000000,0.0,[],0.0,0.0,True
0xa05759ca5a69a56909a570d3951cbc38cf94c3997f97cd01d672bc22d64d2d62,45551,6,0x2a0eff97bb68298e36bea8c86852436e96af92b9,0x73a8a6f5d9762ea5f1de193ec19cdf476c7e86b1,0,500007,19365892223,0xd1ee941d000000000000000000000000ca7c2771d248dcbe09eabe0ce57a62e18da178c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001e00000000000000000000000000000000000000000000000000e39c7514c8fd2e00000000000000000000000000000000000000000000000037a93a72019c9400000000000000000000000000cf0c122c6b73ff809c693db761e7baebe62b6a2e000000000000000000000000000000000000000000000000000000000000001e,1011379,328673,0,0.0,1,2024-05-22 08:02:59.000000 UTC,19924105,0x27d79721c4255f6d1b3d11de1253cb3fc1c9a9f53360da418576d2468781b756,21330325881.0,12090212006.0,2,19365892223,0.0,[],0.0,0.0,True
0x22b7bfc7cb1fa54c3af0e52953121aeec64ca0985ebbdf8766da4d9d7eff1e8a,409286,3,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,0,100000,20000000000,0xa9059cbb000000000000000000000000a317de48238897ef9234f91054525b5875df00cd000000000000000000000000000000000000000000000017b06157ee5c66a000,1605040,61541,0,0.0,1,2024-05-22 08:06:47.000000 UTC,19924124,0x38300fc1d1b11f94b7d135d80cbad4bcdd5568ac596e2f8c89e5d14832edc432,0.0,0.0,0,20000000000,0.0,[],0.0,0.0,True
0x657c5939eee99d9df97cac74922ba227603ed5638b121afeecb7cfadb93b59c9,2674010,6,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,170,526792,273520142685,0x2b635ecef3b72cb00dbd8396ebaec66e0f87e9596e97c018dc2dff5bef1d983dc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2d084944d3c05cd115c09d072b9f44ba3e0e459212710351ca914a9b9e03b6af84f9c6bd2e0e8d27d405695db1a11c46699e081eeab0adde30588ba8d5b3f6ae5284790f54a5bfdd60a0aa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48d084944d3c05cd115c09d072b9f44ba3e0e45921271000a5a488e6a0c2ddd26feeb64f039a2c41296fcb3f5640c4331ee9ffa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48c02aaa39b223fe8d0a0e5c4f27ead9083c756cc201f4351ca914a9b9e03b6af84f9c6bd2e0e8d27d405695db034e46768b38b69753c06bb5c366be51e73bfc0cc2e3dc07e371cef95d393c06e08bf18b3788417754ff7062c10f4e3a4ab7e9f9d9cbda602301435e7e3c04657ba106,1754525,368755,0,0.0,1,2024-05-22 08:09:35.000000 UTC,19924138,0x6cb4aafa6c58c082e2e79b29b3391a3f892bda5e7ec7bc99a49cc92d7ea855d7,273520142685.0,273520142685.0,2,273520142685,0.0,[],0.0,0.0,True
