Block level,Datetime,Operation,Received,From address,Sent,Fee,To address,Explorer link
1341710,2021-02-12 15:00:27,transaction,,,,"-0,04325",KT1CpeSQKdkhWi4pinYcseCFKmDhs5M74BkU,https://tzkt.io/opYiR17ZobeZnbxdZ35zSyQ3b5mi4Tzeppq4VXF3a4NrvgfNvsA/10518014/2
1341710,2021-02-12 15:00:27,transaction,,,-1,"-0,002907",KT1CpeSQKdkhWi4pinYcseCFKmDhs5M74BkU,https://tzkt.io/opYiR17ZobeZnbxdZ35zSyQ3b5mi4Tzeppq4VXF3a4NrvgfNvsA/10518015
1341743,2021-02-12 15:33:27,transaction,,,0,"-0,042491",KT1FyaDqiMQWg7Exo7VUiXAgZbd2kCzo3d4s,https://tzkt.io/oo7BokNXjmk8jMydb7TMFGZ1v8Wk4J7oQrJFY4jMq2Gw717f4rU/10518016
1341743,2021-02-12 15:33:27,transaction,,,,"-0,04325",KT1CpeSQKdkhWi4pinYcseCFKmDhs5M74BkU,https://tzkt.io/oo7BokNXjmk8jMydb7TMFGZ1v8Wk4J7oQrJFY4jMq2Gw717f4rU/10518016/2
1341743,2021-02-12 15:33:27,transaction,,,-1,"-0,002907",KT1CpeSQKdkhWi4pinYcseCFKmDhs5M74BkU,https://tzkt.io/oo7BokNXjmk8jMydb7TMFGZ1v8Wk4J7oQrJFY4jMq2Gw717f4rU/10518017
1348097,2021-02-17 03:12:08,transaction,1,KT1CpeSQKdkhWi4pinYcseCFKmDhs5M74BkU,,,,https://tzkt.io/opQUdBiyZZEoXV7RD3TZCNRt4U6RpmYHL5BMs5ffr7oe43gQfiK/5243743/0
1348746,2021-02-17 14:07:30,transaction,1,KT1CpeSQKdkhWi4pinYcseCFKmDhs5M74BkU,,,,https://tzkt.io/ooTVbYswD4Rk7BH2PEU9v62MfeL4JLNwoJGXZc3yVZfsDbBeNmQ/7052430/1
1350212,2021-02-18 14:49:51,transaction,,,0,"-0,024809",KT1Mgy95DVzqVBNYhsW93cyHuB57Q94UFhrh,https://tzkt.io/ooaquWjqDiQfoz1fAK64j1yvquzQNqjsocqzzyw9CX1PUNf24KD/10518018
1350212,2021-02-18 14:49:51,origination,,,,"-0,61075",KT1TjUtM9hGrDmoVHRYESii1gcTbKY8Ph9Ki,https://tzkt.io/ooaquWjqDiQfoz1fAK64j1yvquzQNqjsocqzzyw9CX1PUNf24KD/10518018/6
1350212,2021-02-18 14:49:51,transaction,,,,"-0,023",KT1Ldn1XWQmk7J4pYgGFjjwV57Ew8NYvcNtJ,https://tzkt.io/ooaquWjqDiQfoz1fAK64j1yvquzQNqjsocqzzyw9CX1PUNf24KD/10518018/7
1350213,2021-02-18 14:50:51,transaction,,,-1,"-0,031106",KT1TjUtM9hGrDmoVHRYESii1gcTbKY8Ph9Ki,https://tzkt.io/op2iuKLnFqf1tZAJh2aSTGuNhanHKHsDnSETMWQ8ATkBMiEim8i/10518019
1350219,2021-02-18 14:56:51,transaction,,,0,"-0,051177",KT1TjUtM9hGrDmoVHRYESii1gcTbKY8Ph9Ki,https://tzkt.io/opEyMs4kCazJXqGkPSgpfA8Chkupa1PW4MEXT2bxSDCeNKAc7Wh/10518020
1350219,2021-02-18 14:56:51,transaction,,,,"-0,0205",KT1K9gCRgaLRFKTErYt1wVxA3Frb9FjasjTV,https://tzkt.io/opEyMs4kCazJXqGkPSgpfA8Chkupa1PW4MEXT2bxSDCeNKAc7Wh/10518020/7
1350219,2021-02-18 14:56:51,transaction,,,,"-0,002",KT1TjUtM9hGrDmoVHRYESii1gcTbKY8Ph9Ki,https://tzkt.io/opEyMs4kCazJXqGkPSgpfA8Chkupa1PW4MEXT2bxSDCeNKAc7Wh/10518020/9
1350229,2021-02-18 15:07:31,transaction,,,0,"-0,044465",KT1TjUtM9hGrDmoVHRYESii1gcTbKY8Ph9Ki,https://tzkt.io/ooKLkkMFHRxVFAR8ALHCkTVaC1Y13DYmBw6D69PgYLRc9jHHaXC/10518021
1358806,2021-02-24 15:26:18,transaction,1,tz1ZabQixneaUux9V7fNdPwQR5mJ42st2p3U,,,,https://tzkt.io/ooJaCnuCS4SZTVHi1BxdqQYXRBc6nh3cdWvhdy8rFKXmiNyt48U/7392036
1358842,2021-02-24 16:02:18,transaction,11,tz1ZabQixneaUux9V7fNdPwQR5mJ42st2p3U,,,,https://tzkt.io/oniysZ1SRXRwCwVCZ227qhHTi7NUD5aAozsgFHKTSkoviVp6bvB/7392037
1387578,2021-03-16 18:51:54,transaction,,,0,"-0,03403",KT1Hkg5qeNhfwpKW4fXvq7HGZB9z2EnmCCA9,https://tzkt.io/oo7UGCtwbj4zQB2SCF5ks8WyfnRYr62hir4TgA2mPhi9TVGUYRC/10518022
1387578,2021-03-16 18:51:54,transaction,,,,"-0,05175",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,https://tzkt.io/oo7UGCtwbj4zQB2SCF5ks8WyfnRYr62hir4TgA2mPhi9TVGUYRC/10518022/0
1387591,2021-03-16 19:04:54,transaction,,,,"-0,009825",KT1Hkg5qeNhfwpKW4fXvq7HGZB9z2EnmCCA9,https://tzkt.io/opPq1MUJqCH4xQqPhEahgxADb2LvUWHFy2wFndiU3BdABD4oVzu/10518023
1389421,2021-03-18 01:55:38,transaction,1,tz1bkhCGUuA5bveCsMqXe9tEkopkZX3hiB9i,,,,https://tzkt.io/ood4WxpBCnsX3ztXPM55Q6euvDP85FdeSv2UrojhdECeLQ4bogZ/10518024
1389421,2021-03-18 01:55:38,transaction,,,-1,"-0,000444",tz1bkhCGUuA5bveCsMqXe9tEkopkZX3hiB9i,https://tzkt.io/ood4WxpBCnsX3ztXPM55Q6euvDP85FdeSv2UrojhdECeLQ4bogZ/10518024
1389478,2021-03-18 02:52:38,transaction,1,tz2JdzNsMwakjfMQE5U67CoSvBUyVB1govcZ,,,,https://tzkt.io/oojXGX4JDu3ADUNwcVejgb5g5bew43KUcuV42xzHqyLYxRBZLhn/7765598
1407506,2021-03-30 17:31:32,transaction,,,"-2,25","-0,009773",KT18ju2Pk6YvNqhD8tsRXGGMRfDVfFkqfhYA,https://tzkt.io/ooHTZmZc8VTHDEgMSWFpFATK42QxzeUL335nEmKbbyD3ftbeP4a/10518025
1407508,2021-03-30 17:33:32,transaction,,,"-2,25","-0,006794",KT18ju2Pk6YvNqhD8tsRXGGMRfDVfFkqfhYA,https://tzkt.io/ooE2nFsAuWuDWLFPt4nTbLnYi83zL91CNS3GVGAX6AeTaVai4x5/10518026
1426041,2021-04-12 17:52:44,origination,,,0,"-0,086757",KT1DSvHfk4EtFGFgs5zt3jQQWuo8miGhDVcs,https://tzkt.io/oo6TtFuMZaTbMZXd8at1TRAjvWQ3xMkAyHSZGJ5SiJRfaQfBTdB/10518027
1427732,2021-04-13 22:08:21,transaction,,,-5,"-0,064664",tz1cp2TFke4GdtSYVBtuTPfvawnemuaJwSno,https://tzkt.io/ootpTfceqJR2vWotZUi9GQ36busnX5rSEDkroSxsAbChJnAhUL6/10518028
1430183,2021-04-15 15:20:11,transaction,12,tz1ZabQixneaUux9V7fNdPwQR5mJ42st2p3U,,,,https://tzkt.io/onspkSqzgRUBJdHTG7x8kifzWJXqG7V4H1yCC9Nbp2p4hmRLKqC/7392069
1430321,2021-04-15 17:39:31,transaction,,,-12,"-0,000445",tz1ZabQixneaUux9V7fNdPwQR5mJ42st2p3U,https://tzkt.io/onn6L72TdqB3zdEbi2XFhDrccxjeFdE49mqdDyhxgVUoWvB6DgJ/10518029
1431923,2021-04-16 20:29:14,transaction,,,0,"-0,072041",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/oomhuMtw1NiwpUZQzd4XfdQpeBNNiJK3rp3oDig5wLxe6Gt5o7L/10518030
1431928,2021-04-16 20:34:14,transaction,,,0,"-0,027237",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/op43PBR55jJRSEokfb7jGCDbPw8LdbqHBiigcBB4hGqw8ek6DGB/10518031
1431931,2021-04-16 20:37:14,transaction,,,0,"-0,055395",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/ooFqPrwAeGXt36JttJkH22z21LixB7xCKtjzJrVNqB6Lf4V6yT3/10518032
1432498,2021-04-17 06:05:42,transaction,,,0,"-0,055397",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/ooTj1tCGBKG4MeXm8rumc4pyqqCezAhrWp3X9TZuTvAyZtXsz6J/10518033
1432501,2021-04-17 06:08:42,transaction,,,-1,"-0,003176",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/onsN6dTLpA8qf9PysR2zmWYiiHmfFBeeYzKNLBHsvmitWA124kM/10518034
1433314,2021-04-17 19:44:00,transaction,,,0,"-0,030901",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/op5LpJ7rWvtd1cvq6UvKUjmYo43byj1aVrUEQoZFy3GZjwrFG6f/10518035
1446173,2021-04-26 21:23:56,transaction,,,0,"-0,003005",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/opBE6MAPdL2jLNuwJ7HYkrwP4qNKa6PqYazbYVRbzRvTRKufKzF/10518036
1446174,2021-04-26 21:24:56,transaction,,,0,"-0,011984",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/oo9AseCcktQi317bPLviozf6Tw6H8WYV2uCPjD53RVuZMdSjvJh/10518037
1469103,2021-05-13 00:44:50,transaction,,,0,"-0,003471",KT1P8n2qzJjwMPbHJfi4o8xu6Pe3gaU3u2A3,https://tzkt.io/onsKVhJVpbo1DhCnQWv7G1NfE3vnaMgXk3MpJWVyrSmRhbVzeNW/10518038
1469103,2021-05-13 00:44:50,transaction,,,,"-0,01775",KT1Mqx5meQbhufngJnUAGEGpa4ZRxhPSiCgB,https://tzkt.io/onsKVhJVpbo1DhCnQWv7G1NfE3vnaMgXk3MpJWVyrSmRhbVzeNW/10518038/2
1469104,2021-05-13 00:45:50,transaction,,,-1,"-0,009363",KT191reDVKrLxU9rjTSxg53wRqj6zh8pnHgr,https://tzkt.io/oo4pvnV21oBUWyUbg9Dc7ZH3HEYyfzAQJJf1ZjsdEPF7QeffLUT/10518039
1469104,2021-05-13 00:45:50,transaction,,,,"-0,00175",KT1Mqx5meQbhufngJnUAGEGpa4ZRxhPSiCgB,https://tzkt.io/oo4pvnV21oBUWyUbg9Dc7ZH3HEYyfzAQJJf1ZjsdEPF7QeffLUT/10518039/2
1469104,2021-05-13 00:45:50,transaction,,,,"-0,0845",KT1GBZmSxmnKJXGMdMLbugPfLyUPmuLSMwKS,https://tzkt.io/oo4pvnV21oBUWyUbg9Dc7ZH3HEYyfzAQJJf1ZjsdEPF7QeffLUT/10518039/3
1469104,2021-05-13 00:45:50,transaction,,,0,"-0,004683",KT1TnTr6b2YxSx2xUQ8Vz3MoWy771ta66yGx,https://tzkt.io/oo4pvnV21oBUWyUbg9Dc7ZH3HEYyfzAQJJf1ZjsdEPF7QeffLUT/10518040
1469104,2021-05-13 00:45:50,transaction,,,,"-0,032",KT1GBZmSxmnKJXGMdMLbugPfLyUPmuLSMwKS,https://tzkt.io/oo4pvnV21oBUWyUbg9Dc7ZH3HEYyfzAQJJf1ZjsdEPF7QeffLUT/10518040/4
1469155,2021-05-13 01:38:10,transaction,,,0,"-0,005698",KT1QHLk1EMUA8BPH3FvRUeUmbTspmAhb7kpd,https://tzkt.io/onupTfRGCLsTdo8jGpGRcqciEXTAcnzmvJmFMARPg5PzD3bd4VN/10518041
1469155,2021-05-13 01:38:10,transaction,,,,"-0,0435",KT1GBZmSxmnKJXGMdMLbugPfLyUPmuLSMwKS,https://tzkt.io/onupTfRGCLsTdo8jGpGRcqciEXTAcnzmvJmFMARPg5PzD3bd4VN/10518041/0
1469158,2021-05-13 01:41:10,transaction,,,-1,"-0,064693",tz1cDS63XNguugZvyYYYxX8mHLNP6NBSVNbT,https://tzkt.io/oodthFtRxcoFaVvQRcjTNjjyhfSGQoSrHCRZyCGwG8FTJj25QYi/10518042
1469184,2021-05-13 02:07:50,transaction,,,0,"-0,005694",KT1QHLk1EMUA8BPH3FvRUeUmbTspmAhb7kpd,https://tzkt.io/oo2xZhndMHxRsc2D5TNTFcoywhRD6ztAFNabRxKiBHDJjbMF1mE/10518043
1469184,2021-05-13 02:07:50,transaction,,,,"-0,0435",KT1GBZmSxmnKJXGMdMLbugPfLyUPmuLSMwKS,https://tzkt.io/oo2xZhndMHxRsc2D5TNTFcoywhRD6ztAFNabRxKiBHDJjbMF1mE/10518043/0
1470466,2021-05-14 00:01:58,transaction,,,"-0,35","-0,000443",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/onfq9uzivox83eVsncuxHCf1MSLCufkcjmb6Kk27Ctwz9juC3AF/10518044
1472071,2021-05-15 03:32:34,transaction,"0,889867",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,,,,https://tzkt.io/opSms7vaCQvKARB9td7rAQvHiW43e5mkyVurYFhtzAFB9y7phdB/15082160
1476058,2021-05-17 23:25:50,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/op14gfTWTczVA2nXeS8gFBXAadPXiukqU1bn1P2ut4TLmWfWNNC/10518045
1476081,2021-05-17 23:48:50,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/opRSNnWsHS6Q3DSvgV9fG1R7fPQvfxt86zk44X8Cu268C9kZQFN/10518046
1476082,2021-05-17 23:49:50,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/opF3gAoJcZkWCBRgMWCSCvGvanj1gPmu4xaRrCxzxqHEqVFKf3j/10518047
1476100,2021-05-18 00:09:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/opZzqrTGnRMAZnd6ppov4GeBdqiMfx7tRjUB7nZJZRNURegic3U/10518048
1476101,2021-05-18 00:10:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/oo4ELuQGZKKfKPBgs21CAi35D7izMjEEEf7PPKPkfcBR9zfdPga/10518049
1476150,2021-05-18 00:59:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/ooLrkN6mbisA3pxEF9yamDnX7B9U2VjgRhHALKrVaQWSBePGeYo/10518050
1476152,2021-05-18 01:01:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/ooxsNXAfzQLrt6R21vnDC4XrUnKfBKP9aEGQXxJsBbKH9QjiAF4/10518051
1476161,2021-05-18 01:10:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/ooxFzHkbQ24X2V7wCe5cRF1DoRoQTAtAh1KHmLTGU5P9KMkZJRy/10518052
1505935,2021-06-08 01:38:02,transaction,,,0,"-0,020014",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/oogB25Y5VgJCi2RtD5Ceduzf6rb5HGWaqmUkxRp8uKriDcHFM1J/10518053
1515722,2021-06-14 23:51:02,transaction,,,0,"-0,019827",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,https://tzkt.io/onsMxAUoiqYyD6F1N814WADf3YARZsv5JZ1W4cXor6GjG2nUACy/10518054
1544190,2021-07-05 15:49:42,transaction,100,tz1VPz5qhzTrRTNevHC33ArBTBPV6jHpwjQB,,,,https://tzkt.io/oosAV6xriNpEEgttdqXryo6Suyjx4H8FX7nCRweDjr9bkVB9Snv/3301209
1544676,2021-07-06 00:31:42,origination,,,0,"-1,131724",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/ooA2G6uF8YP87NYEXT2HYD4FPNwn3TDBjyFsRcvYeJAukxn9Rnb/10518055
1544678,2021-07-06 00:34:22,transaction,,,0,"-0,019758",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/onwdjkKZ5EQRHt8GUfHdSQvN8rbbokDhaow3rigyGjVyGXamKfi/10518056
1544680,2021-07-06 00:36:22,transaction,,,0,"-0,019507",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/onfKwAFabLNBcCUNjeN4SW3MoTqy5MXmnRMaRS7Jc4dqj75KeaK/10518057
