index,DogName, Count
0,BELLA,147
1,LUNA,111
2,MAX,90
3,BUDDY,85
4,DAISY,75
5,SADIE,72
6,CHARLIE,69
7,LUCY,66
8,COOPER,65
9,LOKI,65
10,BAILEY,60
11,WILLOW,59
12,MOLLY,56
13,JACK,55
14,LILY,55
15,MAGGIE,54
16,ROSIE,54
17,BEAR,52
18,DENALI,50
19,KODA,50
20,ROCKY,50
21,RUBY,46
22,BLUE,45
23,COCO,45
24,ZEUS,45
25,KONA,44
26,LOLA,44
27,KENAI,43
28,DUKE,42
29,NALA,42
30,RILEY,40
31,ABBY,39
32,MILO,39
33,GINGER,38
34,HARLEY,38
35,PENNY,38
36,SHADOW,37
37,SOPHIE,36
38,BANDIT,35
39,CHLOE,35
40,MOOSE,35
41,THOR,35
42,TOBY,33
43,GRACIE,31
44,GUS,31
45,OLLIE,31
46,PEPPER,30
47,SCOUT,30
48,ZOEY,30
49,LADY,29
50,COPPER,28
51,JASPER,28
52,LUCKY,28
53,MURPHY,28
54,PIPER,28
55,DEXTER,27
56,ROXY,27
57,JAKE,25
58,LEO,25
59,STELLA,25
60,KISKA,24
61,WINSTON,24
62,CHANCE,23
63,ELLIE,23
64,FINN,23
65,HONEY,23
66,APOLLO,22
67,BRUNO,22
68,CHEWY,22
69,JAX,22
70,LILLY,22
71,MARLEY,22
72,NOVA,22
73,RANGER,22
74,RUGER,22
75,TUCKER,22
76,ANGEL,21
77,EMMA,21
78,LOUIE,21
79,OAKLEY,21
80,SUGAR,21
81,BENTLEY,20
82,BUSTER,20
83,DIESEL,20
84,HANK,20
85,KING,20
86,LULU,20
87,ODIN,20
88,OLIVER,20
89,TITAN,20
90,ZOE,20
91,DIXIE,19
92,LUKE,19
93,POPPY,19
94,RAVEN,19
95,SASHA,19
96,TANK,19
97,YUKON,19
98,ATHENA,18
99,GIZMO,18
100,KODIAK,18
101,MAYA,18
102,PEANUT,18
103,PRINCESS,18
104,BO,17
105,GEORGE,17
106,MISKA,17
107,OLIVE,17
108,SAM,17
109,SMOKEY,17
110,DOZER,16
111,HUNTER,16
112,KINLEY,16
113,KOBUK,16
114,MIA,16
115,PENELOPE,16
116,RIVER,16
117,RUSTY,16
118,SAMMY,16
119,TEDDY,16
120,ANNIE,15
121,BAXTER,15
122,CHICO,15
123,KAI,15
124,LEXI,15
125,MAVERICK,15
126,OSCAR,15
127,BABY,14
128,BOOMER,14
129,DAKOTA,14
130,FREYA,14
131,IZZY,14
132,MILLIE,14
133,OREO,14
134,TYSON,14
135,ASPEN,13
136,BUBBA,13
137,GUNNER,13
138,HENRY,13
139,KATIE,13
140,MOCHA,13
141,ODIE,13
142,PEARL,13
143,PHOEBE,13
144,REMI,13
145,REX,13
146,ROMEO,13
147,ROSCOE,13
148,RUDY,13
149,SITKA,13
150,TAZ,13
151,ACE,12
152,FRANKIE,12
153,HARPER,12
154,HAZEL,12
155,JACKSON,12
156,KOA,12
157,LAYLA,12
158,MAXIMUS,12
159,ONYX,12
160,OTIS,12
161,PRINCE,12
162,ROCCO,12
163,AURORA,11
164,AXEL,11
165,BELLE,11
166,BLU,11
167,CHENA,11
168,CRICKET,11
169,ELLA,11
170,FINLEY,11
171,GOOSE,11
172,LEIA,11
173,MACY,11
174,MICKEY,11
175,MIDNIGHT,11
176,MINNIE,11
177,MISSY,11
178,MISTY,11
179,ROXIE,11
180,TILLY,11
181,WHISKEY,11
182,YUKI,11
183,ARCHIE,10
184,BALTO,10
185,BEAU,10
186,BENNY,10
187,BODHI,10
188,CODY,10
189,DESHKA,10
190,HARVEY,10
191,JUNEAU,10
192,JUNO,10
193,RIPLEY,10
194,RYDER,10
195,SAGE,10
196,SAMPSON,10
197,SANDY,10
198,SCOOBY,10
199,SUKI,10
200,THEO,10
201,TUNDRA,10
202,WINNIE,10
203,ZEKE,10
204,ZIGGY,10
205,BEN,9
206,BISCUIT,9
207,BRUCE,9
208,BUCK,9
209,CAPTAIN,9
210,CHASE,9
211,CHICA,9
212,CINNAMON,9
213,COCOA,9
214,DAISY MAE,9
215,DOLLY,9
216,EDDIE,9
217,ENZO,9
218,HOMER,9
219,IVY,9
220,JADE,9
221,JASMINE,9
222,LEROY,9
223,PHOENIX,9
224,PRECIOUS,9
225,REMINGTON,9
226,ROCKET,9
227,STAR,9
228,STORMY,9
229,WINTER,9
230,ZELDA,9
231,ANUBIS,8
232,ASH,8
233,ATLAS,8
234,BARLEY,8
235,BOO,8
236,CALI,8
237,CHAMP,8
238,CHEVY,8
239,CHIEF,8
240,CHINOOK,8
241,CHIP,8
242,COOKIE,8
243,DALLAS,8
244,DAX,8
245,DELTA,8
246,DIAMOND,8
247,DUSTY,8
248,ELVIS,8
249,GOLDIE,8
250,HERCULES,8
251,HOLLY,8
252,JOSIE,8
253,KIKI,8
254,KILO,8
255,KIRBY,8
256,KIWI,8
257,NELLIE,8
258,NINA,8
259,NUKKA,8
260,RASCAL,8
261,RED,8
262,ROSE,8
263,SCOOTER,8
264,SHEBA,8
265,SHELBY,8
266,SIMBA,8
267,STANLEY,8
268,SYDNEY,8
269,THUNDER,8
270,TRIGGER,8
271,VIOLET,8
272,WALTER,8
273,XENA,8
274,YETI,8
275,ACHILLES,7
276,AMBER,7
277,ARLO,7
278,ARTEMIS,7
279,BALOO,7
280,BOSS,7
281,BRODY,7
282,BROOKS,7
283,BROWNIE,7
284,CHARLEY,7
285,CLEMENTINE,7
286,COMET,7
287,DELILAH,7
288,DOBBY,7
289,DOUG,7
290,DUTCH,7
291,ECHO,7
292,FRED,7
293,GIGI,7
294,HADES,7
295,HANNAH,7
296,HEIDI,7
297,HOPE,7
298,JOJO,7
299,KALI,7
300,KARMA,7
301,KIMBER,7
302,KIRA,7
303,LOGAN,7
304,MABEL,7
305,MAC,7
306,MADDIE,7
307,MAJOR,7
308,MAUI,7
309,MOJO,7
310,NYX,7
311,OZZY,7
312,PATCHES,7
313,PERCY,7
314,ROO,7
315,RUFUS,7
316,SAMANTHA,7
317,SAMSON,7
318,SASSY,7
319,SCRAPPY,7
320,SKY,7
321,SPARKY,7
322,SPIKE,7
323,SWEET PEA,7
324,TRIXIE,7
325,WILLIE,7
326,WILSON,7
327,ADAK,6
328,ALLIE,6
329,ANGUS,6
330,ARCHER,6
331,ARYA,6
332,AUTUMN,6
333,BABY GIRL,6
334,BAUER,6
335,BENJI,6
336,BETTY,6
337,BONNIE,6
338,BOOTS,6
339,BRUISER,6
340,BRUTUS,6
341,CALVIN,6
342,CASH,6
343,CLOVER,6
344,DARCY,6
345,DASH,6
346,EMBER,6
347,ESKA,6
348,FINNEGAN,6
349,FLETCHER,6
350,FRANK,6
351,FREYJA,6
352,GRACE,6
353,GYPSY,6
354,HAILEY,6
355,HUDSON,6
356,JOEY,6
357,JOY,6
358,KAIA,6
359,KAYA,6
360,KOBE,6
361,LENNY,6
362,LEVI,6
363,MADISON,6
364,MARSHALL,6
365,MERLIN,6
366,NANOOK,6
367,NUKA,6
368,OTTO,6
369,PACO,6
370,PANDA,6
371,PARKER,6
372,PETEY,6
373,PILOT,6
374,PORTER,6
375,QUINN,6
376,RAGNAR,6
377,REGGIE,6
378,REMY,6
379,RIO,6
380,ROMAN,6
381,ROWDY,6
382,SHILOH,6
383,SKYE,6
384,SNOOPY,6
385,STEVE,6
386,STORM,6
387,SUNNY,6
388,TALLULAH,6
389,TIMBER,6
390,TINKERBELL,6
391,TINY,6
392,TUX,6
393,WALLY,6
394,WATSON,6
395,WILEY,6
396,YOGI,6
397,ZIVA,6
398,ADA,5
399,ALLY,5
400,AMELIA,5
401,ARIEL,5
402,AUGGIE,5
403,AVA,5
404,BANJO,5
405,BASIL,5
406,BEBE,5
407,BJORN,5
408,BOB,5
409,BOLT,5
410,BONES,5
411,BOWIE,5
412,BRANDY,5
413,BULLET,5
414,BUTTERCUP,5
415,BUZZ,5
416,CASEY,5
417,CASSIE,5
418,CHAOS,5
419,CHERRY,5
420,CHESTER,5
421,CHEWBACCA,5
422,CHOPPER,5
423,CLEO,5
424,CLYDE,5
425,COSMO,5
426,DIEGO,5
427,DIGGER,5
428,DOC,5
429,DOTTIE,5
430,EDDY,5
431,FAITH,5
432,FANCY,5
433,FERGUS,5
434,FOXY,5
435,FRITZ,5
436,GHOST,5
437,GINNY,5
438,GLORY,5
439,GRIZZLY,5
440,GUCCI,5
441,GUINNESS,5
442,HAPPY,5
443,JAVA,5
444,JAXSON,5
445,JAXX,5
446,JUNIOR,5
447,JUNIPER,5
448,KIANA,5
449,KOVU,5
450,KUMA,5
451,KYRA,5
452,LEXIE,5
453,LILA,5
454,LOUIS,5
455,LUCA,5
456,MADDY,5
457,MAISIE,5
458,MARTY,5
459,MATILDA,5
460,MIKEY,5
461,MILES,5
462,MIMI,5
463,MISHKA,5
464,MOCHI,5
465,MOKI,5
466,MONTE,5
467,MORGAN,5
468,MOWGLI,5
469,MOXIE,5
470,NACHO,5
471,NIKO,5
472,OBI,5
473,OZZIE,5
474,PABLO,5
475,PIPPIN,5
476,POTTER,5
477,QUEEN,5
478,RAIDER,5
479,RICO,5
480,ROGER,5
481,SALLY,5
482,SCRUFFY,5
483,SEBASTIAN,5
484,SIERRA,5
485,SNICKERS,5
486,SUMMER,5
487,SVEN,5
488,TACO,5
489,TEDDY BEAR,5
490,TESS,5
491,THUMPER,5
492,TITUS,5
493,TOK,5
494,TRAPPER,5
495,TUFFY,5
496,VADER,5
497,WAFFLES,5
498,WILLA,5
499,WRANGELL,5
500,WRIGLEY,5
501,XANDER,5
502,ADDY,4
503,AJAX,4
504,ARGOS,4
505,ARIES,4
506,ASHER,4
507,ASTRO,4
508,ATKA,4
509,AVALANCHE,4
510,AXLE,4
511,BEAN,4
512,BEAST,4
513,BENTLY,4
514,BESSIE,4
515,BIGGIE,4
516,BLOSSOM,4
517,BOBBY,4
518,BOWSER,4
519,BREE,4
520,BRISTOL,4
521,BUCKY,4
522,BUG,4
523,BUTTERS,4
524,CALLIE,4
525,CHARLOTTE,4
526,CHEWIE,4
527,CHICHI,4
528,CHILI,4
529,CHOP,4
530,CHURRO,4
531,CINDER,4
532,CLOUD,4
533,CODA,4
534,COHO,4
535,COWBOY,4
536,CUJO,4
537,CURLY,4
538,DINO,4
539,DOMINO,4
540,DUDE,4
541,DUTCHESS,4
542,DYLAN,4
543,EEVEE,4
544,ELI,4
